state,issue_age,gender,plan,uw_class,preferred,hhd,application_count,entered_premium
KS,65,F,G,GI,N,Y,1,2254.8
TX,65,M,G,OE,N,Y,1,3319.32
CO,65,F,G,GI,N,Y,1,2253.72
PA,65,M,G,GI,N,N,1,2093.28
FL,65,M,G,GI,N,N,1,4386.48
TX,65,M,G,OE,N,N,1,4836.12
KS,65,M,N,GI,N,N,1,1566.6
FL,65,M,G,OE,N,N,1,3776.16
PA,65,F,F,OE,N,N,1,785.42
KS,65,F,G,GI,N,N,1,2028.12
CO,65,F,G,OE,N,Y,1,3126.0
CO,65,F,G,GI,N,Y,1,914.16
KS,65,F,G,GI,N,N,1,1908.84
NJ,65,F,G,GI,N,N,1,2041.08
CO,65,M,G,GI,N,Y,1,2813.52
IL,65,F,G,GI,N,Y,1,4840.32
PA,65,F,G,OE,N,Y,1,1854.48
FL,65,F,G,GI,N,N,1,3283.68
WI,65,M,G,GI,N,Y,1,7668.48
PA,65,M,G,GI,N,Y,1,2132.64
KS,65,M,G,OE,N,Y,1,2053.56
NJ,65,F,G,GI,N,N,1,1977.72
NC,65,F,G,GI,N,Y,1,6735.84
PA,65,F,G,GI,N,Y,1,1854.48
PA,65,M,G,GI,N,Y,1,2132.64
KS,65,M,G,OE,N,N,1,2818.56
IL,65,M,F,GI,N,N,1,2213.16
NJ,65,F,G,GI,N,Y,1,1839.24
NJ,65,M,G,OE,N,N,1,2274.46
LA,65,M,F,OE,Y,N,1,2506.8
PA,65,F,G,GI,N,Y,1,1451.28
PA,65,F,G,GI,Y,Y,1,1854.48
AZ,65,F,G,OE,Y,N,6,11462.16
AZ,65,M,G,OE,Y,N,1,2156.64
AZ,65,F,G,OE,Y,Y,20,33354.72
AZ,65,M,G,OE,Y,Y,18,34908.0
CO,65,F,G,OE,Y,N,4,7183.92
CO,65,M,G,OE,Y,N,2,3756.24
CO,65,F,G,OE,N,N,1,2086.8
CO,65,F,G,OE,Y,Y,13,22532.52
CO,65,M,G,OE,Y,Y,9,17688.08
FL,65,F,G,OE,Y,N,2,7004.4
FL,65,F,G,OE,N,N,1,3399.24
FL,65,F,G,OE,Y,Y,4,10605.12
FL,65,M,G,OE,Y,Y,1,3049.08
GA,65,F,G,OE,Y,N,4,7788.72
GA,65,M,G,OE,Y,N,3,6671.4
GA,65,F,G,OE,Y,Y,26,44982.48
GA,65,M,G,OE,Y,Y,20,39157.68
IA,65,F,G,OE,Y,N,19,29851.2
IA,65,M,G,OE,Y,N,8,14693.36
IA,65,F,G,OE,Y,Y,50,71071.75
IA,65,M,G,OE,Y,Y,41,66371.48
IA,65,F,G,OE,N,Y,2,3391.92
IA,65,M,G,OE,N,Y,1,2142.12
IL,65,F,G,OE,Y,N,21,34324.56
IL,65,M,G,OE,Y,N,8,14660.64
IL,65,M,G,OE,N,N,1,2319.96
IL,65,F,G,OE,Y,Y,51,76270.88
IL,65,M,G,OE,Y,Y,38,64343.28
KS,65,F,G,OE,Y,N,1,2028.12
KS,65,F,G,OE,Y,Y,8,14280.36
KS,65,M,G,OE,Y,Y,5,10267.8
LA,65,F,G,OE,Y,N,4,6663.0
LA,65,F,G,OE,Y,Y,7,10515.84
LA,65,M,G,OE,Y,Y,10,16621.2
MI,65,F,G,OE,Y,N,6,10346.4
MI,65,M,G,OE,Y,N,3,5793.12
MI,65,F,G,OE,Y,Y,23,36152.21
MI,65,M,G,OE,Y,Y,16,28055.42
NC,65,F,G,OE,Y,N,7,10802.04
NC,65,M,G,OE,Y,N,1,1766.52
NC,65,F,G,OE,Y,Y,33,45614.84
NC,65,M,G,OE,Y,Y,22,34481.88
NE,65,F,G,OE,Y,N,8,14423.04
NE,65,M,G,OE,Y,N,6,12169.44
NE,65,F,G,OE,Y,Y,20,32452.8
NE,65,M,G,OE,Y,Y,17,31032.48
NJ,65,F,G,OE,Y,N,4,7942.56
NJ,65,M,G,OE,Y,N,6,13700.99
NJ,65,F,G,OE,Y,Y,3,5540.09
NJ,65,M,G,OE,Y,Y,2,4247.28
OH,65,F,G,OE,Y,N,3,5288.04
OH,65,M,G,OE,Y,N,2,4054.32
OH,65,F,G,OE,Y,Y,2,3172.8
OH,65,M,G,OE,Y,Y,1,1824.48
PA,65,F,G,OE,Y,N,6,11804.4
PA,65,M,G,OE,Y,N,2,3996.24
PA,65,F,G,OE,Y,Y,12,21385.44
PA,65,M,G,OE,Y,Y,9,17969.28
SC,65,F,G,OE,Y,N,4,6712.2
SC,65,F,G,OE,Y,Y,30,43989.36
SC,65,M,G,OE,Y,Y,19,32096.44
TN,65,F,G,OE,Y,N,5,8032.2
TN,65,M,G,OE,Y,N,2,3694.8
TN,65,F,G,OE,Y,Y,26,36674.04
TN,65,M,G,OE,Y,Y,16,26022.59
TX,65,F,G,OE,Y,N,8,14407.68
TX,65,M,G,OE,N,Y,1,3651.24
TX,65,F,G,OE,Y,Y,31,50900.88
TX,65,M,G,OE,Y,Y,20,36599.28
VA,65,F,G,OE,Y,N,5,7402.2
VA,65,M,G,OE,Y,N,1,1605.36
VA,65,F,G,OE,Y,Y,41,54140.04
VA,65,M,G,OE,Y,Y,14,20588.4
CO,65,F,G,OE,Y,N,1,677.16
CO,65,M,G,OE,Y,Y,1,685.56
IA,65,F,G,OE,Y,Y,1,497.64
IL,65,M,G,OE,Y,Y,1,560.04
KS,65,F,G,OE,Y,Y,1,580.44
NE,65,M,G,OE,Y,Y,1,592.56
TX,65,M,G,OE,Y,Y,1,731.64
VA,65,F,G,OE,Y,Y,2,820.56
FL,65,F,G,OE,Y,Y,1,914.75
GA,65,F,G,OE,Y,Y,1,577.08
AZ,65,F,N,OE,Y,N,1,1440.48
AZ,65,M,N,OE,Y,Y,3,4568.52
CO,65,F,N,OE,Y,Y,4,5373.12
CO,65,M,N,OE,Y,Y,4,5693.4
FL,65,M,N,OE,Y,Y,1,2283.12
GA,65,F,N,OE,Y,N,2,3067.8
GA,65,M,N,OE,Y,N,3,4788.0
GA,65,F,N,OE,Y,Y,2,2473.32
GA,65,M,N,OE,Y,Y,5,7102.2
IA,65,F,N,OE,Y,Y,2,2850.0
IA,65,M,N,OE,Y,Y,4,5084.28
IL,65,F,N,OE,Y,N,2,2557.2
IL,65,M,N,OE,Y,N,2,2876.88
IL,65,F,N,OE,N,N,1,1572.96
IL,65,F,N,OE,Y,Y,7,7813.32
IL,65,M,N,OE,Y,Y,3,3822.48
KS,65,F,N,OE,Y,Y,7,8699.28
LA,65,F,N,OE,Y,Y,2,2651.76
LA,65,M,N,OE,Y,Y,4,5444.16
MI,65,M,N,OE,Y,N,2,2862.0
MI,65,F,N,OE,Y,Y,4,4667.28
MI,65,M,N,OE,Y,Y,5,6579.0
NC,65,F,N,OE,Y,Y,7,6922.44
NC,65,M,N,OE,Y,Y,5,5686.8
NE,65,M,N,OE,Y,N,1,1505.52
NE,65,F,N,OE,Y,Y,1,1204.44
NE,65,M,N,OE,Y,Y,5,6774.6
NJ,65,F,N,OE,Y,N,1,1382.88
NJ,65,M,N,OE,Y,N,2,3180.48
NJ,65,F,N,OE,Y,Y,1,1286.04
NJ,65,M,N,OE,Y,Y,1,1478.88
OH,65,F,N,OE,Y,N,2,2958.6
PA,65,F,N,OE,Y,N,2,2767.08
PA,65,M,N,OE,Y,N,1,1842.24
PA,65,F,N,OE,Y,Y,8,10891.2
PA,65,M,N,OE,Y,Y,2,2829.96
SC,65,F,N,OE,Y,Y,1,1128.24
SC,65,M,N,OE,Y,Y,1,1297.56
TN,65,F,N,OE,Y,N,1,1179.36
TN,65,F,N,OE,Y,Y,3,3102.84
TN,65,M,N,OE,Y,Y,1,1189.44
TX,65,F,N,OE,Y,N,3,3986.64
TX,65,M,N,OE,Y,N,2,3550.32
TX,65,F,N,OE,Y,Y,11,13255.08
TX,65,M,N,OE,Y,Y,10,14331.48
VA,65,F,N,OE,Y,N,4,4340.16
VA,65,F,N,OE,Y,Y,2,1937.52
VA,65,M,N,OE,Y,Y,7,7664.52
WI,65,F,G,OE,Y,N,3,6365.88
WI,65,M,G,OE,Y,N,2,4470.96
WI,65,F,G,OE,Y,Y,14,25470.84
WI,65,M,G,OE,Y,Y,16,33058.08
GA,65,F,G,GI,Y,Y,1,1672.44
NE,65,F,G,GI,Y,Y,1,1622.64
TX,65,M,G,GI,Y,Y,1,1659.6
AZ,65,F,G,OE,Y,N,2,3750.72
AZ,65,F,G,OE,Y,Y,3,4934.16
AZ,65,M,G,OE,Y,Y,8,15252.0
CO,65,F,G,OE,Y,N,1,1992.48
CO,65,F,G,OE,Y,Y,6,9926.16
CO,65,M,G,OE,Y,Y,9,17546.16
